subID	Vagueness	TimePressure	ID3	acc	V3scld	sdbid3scld	Ntrial	VDscld
22071401	Vague	Low	2	60	0	0	15	0.391869918699187
22071401	Vague	Low	6	66.6666666666667	0.341463414634146	0.0613807677664289	15	0.391869918699187
22071401	Vague	Low	7	73.3333333333333	0	0	15	0.391869918699187
22071401	Vague	Low	9	66.6666666666667	0.902439024390244	0.0985719971787166	15	0.391869918699187
22071401	Vague	Low	13	60	0.682926829268293	0.109981701288363	15	0.391869918699187
22071401	Vague	Low	14	80	0.780487804878049	0.109981701288363	15	0.391869918699187
22071401	Vague	High	1	73.3333333333333	0	0	15	0.391869918699187
22071401	Vague	High	3	53.3333333333333	0.365853658536585	0.0613807677664289	15	0.391869918699187
22071401	Vague	High	4	71.4285714285714	0.878048780487805	0.111770138901362	14	0.411149825783972
22071401	Vague	High	5	42.8571428571429	0	0	14	0.376306620209059
22071401	Vague	High	8	40	0	0	15	0.391869918699187
22071401	Vague	High	11	50	0.731707317073171	0.140817138826738	14	0.402439024390244
22071401	Precise	Low	19	66.6666666666667	0	0	15	0.391869918699187
22071401	Precise	Low	21	73.3333333333333	0	0	15	0.391869918699187
22071401	Precise	Low	23	64.2857142857143	0	0	14	0.393728222996516
22071401	Precise	Low	24	73.3333333333333	0.536585365853659	0.101544682900787	15	0.391869918699187
22071401	Precise	Low	28	57.1428571428571	0.951219512195122	0.212629216758082	14	0.390243902439025
22071401	Precise	Low	29	73.3333333333333	0.853658536585366	0.0844902832960428	15	0.391869918699187
22071401	Precise	High	20	46.6666666666667	0	0	15	0.391869918699187
22071401	Precise	High	22	64.2857142857143	0	0	14	0.383275261324042
22071401	Precise	High	25	66.6666666666667	0.536585365853659	0.0731707317073171	15	0.391869918699187
22071401	Precise	High	27	50	0	0	14	0.371080139372822
22071401	Precise	High	30	53.3333333333333	0.902439024390244	0.249130950342188	15	0.391869918699187
22071401	Precise	High	31	50	0.951219512195122	0.129061039564126	14	0.376306620209059
22071402	Vague	Low	3	53.8461538461538	0.172340425531915	0.0112585162172961	13	0.433715220949264
22071402	Vague	Low	4	77.7777777777778	0.906382978723404	0.123061397031171	9	0.460520094562648
22071402	Vague	Low	6	64.2857142857143	0.0638297872340425	0.0107089850145684	14	0.444224924012158
22071402	Vague	Low	8	70	0.931914893617021	0.105664238706773	10	0.414468085106383
22071402	Vague	Low	11	57.1428571428571	0.508510638297872	0.0449502180921726	14	0.4209726443769
22071402	Vague	Low	14	70	0.382978723404255	0.0191882968205229	10	0.467872340425532
22071402	Vague	High	1	76.9230769230769	0.151063829787234	0.0437250004022648	13	0.433715220949264
22071402	Vague	High	2	75	0.0553191489361702	0.0130002147374634	12	0.443617021276596
22071402	Vague	High	5	75	0.865957446808511	0.185537933404887	12	0.428900709219858
22071402	Vague	High	7	58.3333333333333	0.238297872340426	0.0156832229698553	12	0.437765957446809
22071402	Vague	High	9	58.3333333333333	0.459574468085106	0.00491361931225212	12	0.383333333333333
22071402	Vague	High	18	66.6666666666667	0.919148936170213	0.137926396897836	15	0.435602836879433
22071402	Precise	Low	19	84.6153846153846	0.0595744680851064	0.00650010736873169	13	0.445171849427169
22071402	Precise	Low	21	69.2307692307692	0.0446808510638298	0.0036852144841891	13	0.42013093289689
22071402	Precise	Low	22	72.7272727272727	0.44468085106383	0.068394686248177	11	0.4678916827853
22071402	Precise	Low	27	66.6666666666667	0.640425531914894	0.0543421638425263	12	0.432801418439716
22071402	Precise	Low	29	58.3333333333333	0.763829787234042	0.133591495958255	12	0.437765957446809
22071402	Precise	Low	32	69.2307692307692	0.478723404255319	0.0436559245291132	13	0.425531914893617
22071402	Precise	High	20	69.2307692307692	0.0361702127659574	0.0073704289683782	13	0.403109656301146
22071402	Precise	High	23	53.3333333333333	0.0574468085106383	0.0122840482806303	15	0.435602836879433
22071402	Precise	High	24	69.2307692307692	0.476595744680851	0.0579307173238642	13	0.458756137479542
22071402	Precise	High	25	50	0.540425531914894	0.0883000085189774	14	0.413373860182371
22071402	Precise	High	28	53.8461538461538	0.704255319148936	0.0180955330810966	13	0.423731587561375
22071402	Precise	High	31	69.2307692307692	0.397872340425532	0.0814924170306619	13	0.423731587561375
22071801	Vague	Low	19	78.5714285714286	0.0576923076923077	0.111028897921082	14	1.27884615384615
22071801	Vague	Low	20	66.6666666666667	0	0	15	1.27692307692308
22071801	Vague	Low	23	71.4285714285714	0	0	14	1.27884615384615
22071801	Vague	Low	31	73.3333333333333	0.5	0.530271970708553	15	1.27692307692308
22071801	Vague	Low	32	73.3333333333333	0	0	15	1.27692307692308
22071801	Vague	Low	36	66.6666666666667	0	0.0111028897921082	15	1.27692307692308
22071801	Vague	High	21	61.5384615384615	0	0.0111028897921082	13	1.15828402366864
22071801	Vague	High	22	78.5714285714286	0	0	14	1.27884615384615
22071801	Vague	High	24	69.2307692307692	0.0192307692307692	0.0333086693763246	13	1.30029585798817
22071801	Vague	High	25	76.9230769230769	0.403846153846154	0.0222057795842164	13	1.25295857988166
22071801	Vague	High	27	75	1.94230769230769	0.029375485224076	12	1.27724358974359
22071801	Vague	High	30	73.3333333333333	0	0	15	1.27692307692308
22071801	Precise	Low	1	80	0.596153846153846	0.0508798329050883	15	1.27692307692308
22071801	Precise	Low	2	73.3333333333333	0	0	15	1.27692307692308
22071801	Precise	Low	5	73.3333333333333	0	0	15	1.27692307692308
22071801	Precise	Low	12	66.6666666666667	0.0769230769230769	0.10591481821704	15	1.27692307692308
22071801	Precise	Low	13	80	0.211538461538462	0.355292473347462	15	1.27692307692308
