Vagueness	TimePressure	V3scld	acc	sdbid3scld	Ntrial
Vague	Low	0	72.2938144329896	0.000801992514147801	776
Vague	Low	0.0131233595800525	60	0.00921754484064107	15
Vague	Low	0.0136054421768707	71.4285714285714	0.0171198059756706	14
Vague	Low	0.0178571428571429	69.2307692307692	0.010309826235529	13
Vague	Low	0.0214592274678112	60	0	15
Vague	Low	0.0308219178082192	73.3333333333333	0.0138405886449568	15
Vague	Low	0.0357142857142857	71.4285714285714	0.0357142857142857	14
Vague	Low	0.0373134328358209	35.7142857142857	0	14
Vague	Low	0.0384615384615385	66.6666666666667	0.0666173387526491	15
Vague	Low	0.0388349514563107	86.6666666666667	0.0148303420548733	15
Vague	Low	0.0410958904109589	93.3333333333333	0.014927736108016	15
Vague	Low	0.0429184549356223	58.6206896551724	0.0012816714574285	29
Vague	Low	0.0445205479452055	86.6666666666667	0.00197722694927954	15
Vague	Low	0.0456026058631922	66.6666666666667	0.0216883652067733	15
Vague	Low	0.0476190476190476	69.2307692307692	0.0392755285163011	13
Vague	Low	0.0508083140877598	33.3333333333333	0.00666686223082709	15
Vague	Low	0.051948051948052	86.6666666666667	0.0149961108880422	15
Vague	Low	0.0522388059701493	50	0.00373134328358209	14
Vague	Low	0.0526315789473684	66.6666666666667	0.0911605688194146	15
Vague	Low	0.0534591194968553	80	0.00831997267630374	15
Vague	Low	0.0555555555555556	64.2857142857143	0.0160375074774896	14
Vague	Low	0.0576923076923077	78.5714285714286	0.111028897921082	14
Vague	Low	0.0588235294117647	33.3333333333333	0.0905647481081766	15
Vague	Low	0.0604651162790698	80	0.0329981343469655	15
Vague	Low	0.0638297872340425	64.2857142857143	0.0107089850145684	14
Vague	Low	0.0680272108843537	78.5714285714286	0.0340702476220334	28
Vague	Low	0.0723270440251572	86.6666666666667	0.0199712357266852	15
Vague	Low	0.0751445086705202	66.6666666666667	0.00882962561648524	15
Vague	Low	0.0857142857142857	73.3333333333333	0.0285714285714286	15
Vague	Low	0.087378640776699	86.6666666666667	0.0112106848386335	15
Vague	Low	0.0883720930232558	86.6666666666667	0.0193643348787547	15
Vague	Low	0.0884955752212389	66.6666666666667	0.00510929441760731	12
Vague	Low	0.0894308943089431	60	0.0248378086447471	15
Vague	Low	0.0897435897435897	46.6666666666667	0.0840697246705385	15
Vague	Low	0.0909090909090909	86.6666666666667	0.0524863881081478	15
Vague	Low	0.0933333333333333	86.6666666666667	0.0708792516379596	15
Vague	Low	0.0974025974025974	93.3333333333333	0	15
Vague	Low	0.0980392156862745	33.3333333333333	0.109171850251569	15
Vague	Low	0.0990990990990991	80	0.070326554036018	15
Vague	Low	0.0997375328083989	60	0.0317502140185898	15
Vague	Low	0.101167315175097	80	0.0194552529182879	15
Vague	Low	0.102941176470588	53.3333333333333	0.0505431142826012	15
Vague	Low	0.105633802816901	69.2307692307692	0.00406584696612413	13
Vague	Low	0.105691056910569	53.3333333333333	0.0417203369060722	15
Vague	Low	0.107142857142857	78.5714285714286	0.0357142857142857	14
Vague	Low	0.111111111111111	79.3103448275862	0.103942397820367	29
Vague	Low	0.113636363636364	79.3103448275862	0	29
Vague	Low	0.119402985074627	86.6666666666667	0.0298507462686567	15
Vague	Low	0.123873873873874	86.6666666666667	0.126587797264832	15
Vague	Low	0.126984126984127	73.3333333333333	0.0360070306582439	15
Vague	Low	0.132295719844358	80	0.00778210116731517	15
Vague	Low	0.133550488599349	66.6666666666667	0.0438228796321619	15
Vague	Low	0.134328358208955	86.6666666666667	0.0310696417830766	15
Vague	Low	0.137254901960784	20	0.237732463783964	15
Vague	Low	0.139344262295082	40	0.0855762828599225	15
Vague	Low	0.141891891891892	86.6666666666667	0.112642638639706	15
Vague	Low	0.142857142857143	75.8620689655172	0.0359887913153012	29
Vague	Low	0.144385026737968	33.3333333333333	0.00534759358288769	6
Vague	Low	0.144508670520231	86.6666666666667	0.029662436066167	15
Vague	Low	0.147619047619048	78.5714285714286	0.00991269523555301	14
Vague	Low	0.150900900900901	73.3333333333333	0.133397233287936	15
Vague	Low	0.153846153846154	73.3333333333333	0.0195836568160506	15
Vague	Low	0.155339805825243	86.6666666666667	0.0636644516922524	15
Vague	Low	0.157894736842105	60	0.273481706458244	15
Vague	Low	0.158139534883721	80	0.0142095370386228	15
Vague	Low	0.16	80	0.122946428800794	20
Vague	Low	0.162679425837321	63.6363636363636	0.0516066656694209	11
Vague	Low	0.163934426229508	42.8571428571429	0.00189295170226106	14
Vague	Low	0.166666666666667	78.5714285714286	0.0641500299099584	14
Vague	Low	0.168888888888889	73.3333333333333	0.0848334121613061	15
Vague	Low	0.169014084507042	54.5454545454545	0.118747792206026	11
Vague	Low	0.171428571428571	73.3333333333333	0.0329914439536929	15
Vague	Low	0.172340425531915	53.8461538461538	0.0112585162172961	13
Vague	Low	0.173410404624277	80	0.0927260841272907	15
Vague	Low	0.173770491803279	46.6666666666667	0.0136502688489582	15
Vague	Low	0.17379679144385	38.4615384615385	0.0267379679144385	13
Vague	Low	0.176470588235294	14.2857142857143	0.305656024865096	14
Vague	Low	0.177777777777778	60	0.0256600119639834	15
Vague	Low	0.183098591549296	75	0.063899800886461	12
Vague	Low	0.184757505773672	33.3333333333333	0	15
Vague	Low	0.185840707964602	90.9090909090909	0.0284473473775603	11
Vague	Low	0.188524590163934	40	0.0216864861562671	15
Vague	Low	0.194444444444444	71.4285714285714	0.0962250448649376	14
Vague	Low	0.196428571428571	64.2857142857143	0.0545544725589981	14
Vague	Low	0.2	68.421052631579	0	19
