subID	Model	randi	Mp0	delta0	wp0	scl0	Mp	delta	wp	scl	detla2	nll	nllsd	success	iterations
22071401.000000	1.000000	27.000000	93.777266	0.237536	NaN	NaN	NaN	2.679804	-0.197368	NaN	NaN	NaN	254.858696	0.034841	1.000000	25.000000
22071401.000000	1.000000	37.000000	33.635947	0.153292	NaN	NaN	NaN	1.790298	0.350542	NaN	NaN	NaN	248.040935	0.041254	1.000000	33.000000
22071401.000000	2.000000	8.000000	2.045013	-0.023510	NaN	0.803295	NaN	2.063477	0.276367	NaN	0.803711	NaN	249.729166	0.026659	2.000000	11.000000
22071401.000000	2.000000	7.000000	64.075117	-0.145103	NaN	1.188425	NaN	3.223633	-0.229883	NaN	0.810547	NaN	259.850337	0.032913	2.000000	12.000000
22071401.000000	2.000000	17.000000	59.289323	0.376775	NaN	0.786550	NaN	0.033203	-0.999805	NaN	2.910156	NaN	276.078615	0.025893	2.000000	12.000000
22071401.000000	2.000000	28.000000	42.431440	0.002312	NaN	1.416149	NaN	13.278320	-0.234863	NaN	0.000000	NaN	334.302634	0.026394	2.000000	11.000000
22071401.000000	2.000000	6.000000	65.975325	0.269490	NaN	1.293160	NaN	0.033203	-0.722070	NaN	2.560547	NaN	273.565934	0.030046	2.000000	12.000000
22071401.000000	2.000000	5.000000	57.190155	0.360132	NaN	1.715064	NaN	0.033203	-0.332129	NaN	4.000000	NaN	269.744897	2.390812	2.000000	12.000000
22071401.000000	2.000000	35.000000	18.409409	0.080699	NaN	1.157196	NaN	2.643555	-0.188208	NaN	0.831055	NaN	254.408444	0.036548	2.000000	11.000000
22071401.000000	2.000000	2.000000	53.140164	0.332655	NaN	0.431357	NaN	0.033203	-0.323926	NaN	4.000000	NaN	267.942894	2.261591	2.000000	12.000000
22071401.000000	2.000000	4.000000	18.215515	-0.163889	NaN	0.482640	NaN	12.698242	-0.062012	NaN	0.774414	NaN	336.839028	0.025944	2.000000	11.000000
22071401.000000	2.000000	15.000000	56.815122	0.317037	NaN	1.803758	NaN	0.033203	-0.630957	NaN	4.000000	NaN	266.896766	2.205526	2.000000	12.000000
22071401.000000	2.000000	18.000000	71.074967	0.269777	NaN	0.823605	NaN	0.009033	-0.510181	NaN	4.000000	NaN	267.866100	2.279239	2.000000	13.000000
22071401.000000	2.000000	16.000000	7.303667	-0.059696	NaN	0.892853	NaN	2.100109	-0.042520	NaN	0.144661	NaN	250.839417	0.044377	2.000000	11.000000
22071401.000000	2.000000	24.000000	23.895247	0.031781	NaN	1.249857	NaN	0.964325	-0.498585	NaN	3.988212	NaN	263.222738	1.239982	2.000000	11.000000
22071401.000000	2.000000	25.000000	71.930445	-0.049842	NaN	1.471522	NaN	1.542619	0.445802	NaN	0.886291	NaN	246.404962	0.035631	2.000000	11.000000
22071401.000000	2.000000	13.000000	83.243722	-0.121822	NaN	0.069588	NaN	0.933533	0.917731	NaN	1.638123	NaN	245.256540	0.053015	2.000000	14.000000
22071401.000000	2.000000	38.000000	91.086493	-0.031879	NaN	0.557617	NaN	0.002991	0.081964	NaN	4.000000	NaN	267.051595	2.180530	2.000000	14.000000
22071401.000000	2.000000	36.000000	9.603337	0.273329	NaN	1.903582	NaN	1.918457	-0.509741	NaN	3.159424	NaN	263.005769	1.673031	2.000000	13.000000
22071401.000000	2.000000	23.000000	52.012118	0.288609	NaN	0.466772	NaN	2.015137	-0.086035	NaN	2.218750	NaN	253.548000	0.042259	2.000000	13.000000
22071401.000000	2.000000	3.000000	27.366763	0.077012	NaN	1.864481	NaN	0.002991	-0.795038	NaN	2.140198	NaN	272.019604	0.036000	2.000000	14.000000
22071401.000000	2.000000	40.000000	64.951604	0.117020	NaN	0.765044	NaN	0.000005	0.324259	NaN	2.091012	NaN	272.112995	0.035454	2.000000	11.000000
22071401.000000	2.000000	11.000000	63.693986	0.001167	NaN	1.497183	NaN	0.915405	1.123431	NaN	1.671387	NaN	244.982330	0.044519	2.000000	14.000000
22071401.000000	2.000000	27.000000	57.591437	-0.016786	NaN	1.509301	NaN	0.002991	-0.703009	NaN	2.176880	NaN	272.124692	0.027963	2.000000	15.000000
22071401.000000	2.000000	32.000000	89.080878	0.135988	NaN	0.445932	NaN	2.113997	0.027935	NaN	0.019484	NaN	250.037008	0.040164	2.000000	11.000000
22071401.000000	2.000000	26.000000	96.278442	0.353292	NaN	1.239222	NaN	1.835373	0.142545	NaN	0.728088	NaN	248.146718	0.043152	2.000000	17.000000
22071401.000000	2.000000	20.000000	29.666085	0.251754	NaN	0.149721	NaN	0.655703	1.889120	NaN	1.739467	NaN	244.745657	0.055746	2.000000	18.000000
22071401.000000	2.000000	1.000000	6.870731	0.249935	NaN	0.497408	NaN	0.885063	1.179007	NaN	1.647134	NaN	245.090118	0.062514	2.000000	18.000000
22071401.000000	2.000000	22.000000	53.382765	0.174147	NaN	0.190301	NaN	0.102325	0.024563	NaN	3.999858	NaN	267.959561	2.266464	1.000000	18.000000
22071401.000000	2.000000	10.000000	89.509525	0.085677	NaN	0.008781	NaN	0.000539	-1.000000	NaN	3.999797	NaN	267.999592	2.262113	1.000000	20.000000
22071401.000000	2.000000	19.000000	64.665011	-0.113371	NaN	1.266751	NaN	1.290851	0.636221	NaN	1.267287	NaN	245.513045	0.042352	2.000000	24.000000
22071401.000000	2.000000	37.000000	11.469639	-0.088946	NaN	1.692690	NaN	0.009033	-0.999951	NaN	4.000000	NaN	265.372276	1.967938	1.000000	25.000000
22071401.000000	2.000000	12.000000	34.704272	-0.020958	NaN	1.641516	NaN	0.003535	-0.999997	NaN	3.999679	NaN	263.525012	1.679405	1.000000	27.000000
22071401.000000	2.000000	33.000000	72.092086	0.315690	NaN	0.787942	NaN	0.001392	0.035647	NaN	3.999969	NaN	266.258630	2.082062	1.000000	24.000000
22071401.000000	2.000000	21.000000	87.369541	0.255646	NaN	0.906663	NaN	1.478777	0.415887	NaN	1.151008	NaN	246.122368	0.041515	2.000000	28.000000
22071401.000000	2.000000	29.000000	33.087198	0.261557	NaN	1.437217	NaN	0.015371	0.440312	NaN	4.000000	NaN	264.422841	1.836695	1.000000	26.000000
22071401.000000	2.000000	39.000000	12.656662	0.118888	NaN	1.421531	NaN	1.579793	0.404142	NaN	0.617454	NaN	246.990164	0.050944	1.000000	24.000000
22071401.000000	2.000000	31.000000	1.168013	0.269088	NaN	1.108784	NaN	1.413013	0.437751	NaN	1.144197	NaN	246.042960	0.059705	1.000000	32.000000
22071401.000000	2.000000	9.000000	28.311369	-0.005375	NaN	0.472014	NaN	1.108302	0.820273	NaN	1.525944	NaN	245.194889	0.044031	1.000000	32.000000
22071401.000000	2.000000	30.000000	36.270662	0.390727	NaN	1.276325	NaN	3.154475	-0.490372	NaN	1.115370	NaN	261.862525	0.089174	1.000000	32.000000
22071401.000000	2.000000	34.000000	2.236346	0.140973	NaN	0.440406	NaN	0.941986	1.197024	NaN	1.456153	NaN	244.931916	0.036000	2.000000	35.000000
22071401.000000	2.000000	14.000000	91.443619	0.299506	NaN	1.480671	NaN	1.359633	0.326305	NaN	1.677713	NaN	246.882721	0.055675	1.000000	43.000000
22071401.000000	3.000000	21.000000	33.363109	0.134620	0.229394	NaN	NaN	1.906372	0.254541	0.000000	NaN	NaN	248.415362	0.038829	2.000000	11.000000
22071401.000000	3.000000	29.000000	55.485336	-0.179716	0.062688	NaN	NaN	2.981934	-0.287598	0.008887	NaN	NaN	258.933640	0.035597	2.000000	11.000000
22071401.000000	3.000000	17.000000	64.016066	0.385436	0.923233	NaN	NaN	0.009033	0.487012	0.237549	NaN	NaN	273.708478	0.029627	2.000000	11.000000
22071401.000000	3.000000	13.000000	45.840119	-0.174195	0.168474	NaN	NaN	2.167332	0.137621	0.000000	NaN	NaN	249.859967	0.029115	2.000000	11.000000
22071401.000000	3.000000	27.000000	70.748800	0.382593	0.777311	NaN	NaN	14.631836	-0.076367	0.000000	NaN	NaN	342.685251	0.032802	2.000000	11.000000
22071401.000000	3.000000	22.000000	49.158190	-0.158925	0.484023	NaN	NaN	10.812988	-0.021875	0.609082	NaN	NaN	353.492718	0.026309	2.000000	12.000000
22071401.000000	3.000000	12.000000	1.021664	0.154169	1.131540	NaN	NaN	0.033203	1.104297	0.120313	NaN	NaN	262.546805	1.248664	2.000000	14.000000
22071401.000000	3.000000	25.000000	98.936603	-0.067244	0.860249	NaN	NaN	19.079102	-0.128809	0.332910	NaN	NaN	358.537881	0.038101	2.000000	12.000000
22071401.000000	3.000000	28.000000	45.559584	-0.128232	0.541018	NaN	NaN	1.810448	0.284941	0.003087	NaN	NaN	248.387820	0.038489	2.000000	11.000000
22071401.000000	3.000000	26.000000	72.418228	0.348684	0.247412	NaN	NaN	1.580078	0.502246	0.002734	NaN	NaN	248.348313	0.042535	2.000000	11.000000
22071401.000000	3.000000	34.000000	61.878965	0.064556	0.853307	NaN	NaN	0.000005	0.090369	0.169249	NaN	NaN	260.216822	0.043026	2.000000	11.000000
22071401.000000	3.000000	1.000000	26.370161	0.251473	0.749479	NaN	NaN	0.601196	-0.459827	0.270233	NaN	NaN	274.781079	0.037403	2.000000	11.000000
22071401.000000	3.000000	35.000000	64.658955	-0.015206	0.745078	NaN	NaN	2.035530	0.108611	0.000000	NaN	NaN	249.267241	0.038029	2.000000	11.000000
22071401.000000	3.000000	24.000000	62.910388	0.317359	0.587783	NaN	NaN	11.973145	0.085352	0.729395	NaN	NaN	359.231416	0.025011	2.000000	12.000000
22071401.000000	3.000000	14.000000	57.865957	-0.116955	0.865746	NaN	NaN	1.329315	0.378027	0.026489	NaN	NaN	250.121523	0.038092	2.000000	11.000000
22071401.000000	3.000000	40.000000	92.722867	0.284338	0.264608	NaN	NaN	9.749512	0.132227	0.337012	NaN	NaN	345.551562	0.028181	2.000000	12.000000
22071401.000000	3.000000	6.000000	35.365428	-0.005207	0.933466	NaN	NaN	6.752441	-0.110059	0.980273	NaN	NaN	353.497309	0.027627	2.000000	12.000000
22071401.000000	3.000000	3.000000	94.805222	0.358437	0.591712	NaN	NaN	49.049805	-0.311475	0.000000	NaN	NaN	372.663705	0.038461	2.000000	11.000000
22071401.000000	3.000000	2.000000	84.245208	0.120423	0.874921	NaN	NaN	1.866689	0.290239	0.000000	NaN	NaN	248.304632	0.034253	2.000000	11.000000
22071401.000000	3.000000	16.000000	11.971938	0.126077	0.457117	NaN	NaN	2.329346	0.175732	0.000000	NaN	NaN	251.473907	0.034609	2.000000	11.000000
22071401.000000	3.000000	36.000000	6.092678	-0.087934	0.246612	NaN	NaN	0.009033	-0.136646	0.209180	NaN	NaN	264.081342	0.032477	2.000000	11.000000
22071401.000000	3.000000	32.000000	87.852255	0.173398	0.057701	NaN	NaN	0.009033	-0.487036	0.369141	NaN	NaN	280.292647	0.038024	2.000000	15.000000
22071401.000000	3.000000	23.000000	66.525316	0.099902	0.805783	NaN	NaN	0.042267	-0.052216	0.200635	NaN	NaN	262.967981	0.036646	2.000000	11.000000
22071401.000000	3.000000	19.000000	98.105913	0.172349	0.886340	NaN	NaN	1.676758	-0.051758	0.108008	NaN	NaN	262.408395	0.034633	2.000000	11.000000
22071401.000000	3.000000	30.000000	69.084048	0.079971	1.020193	NaN	NaN	30.342285	-0.285840	0.328809	NaN	NaN	366.086687	0.033179	2.000000	11.000000
22071401.000000	3.000000	37.000000	2.199040	0.139405	1.167053	NaN	NaN	0.000017	0.920670	0.180277	NaN	NaN	267.394500	0.034763	2.000000	21.000000
22071401.000000	3.000000	33.000000	42.397013	-0.039717	1.357540	NaN	NaN	2.192129	-0.015294	0.893890	NaN	NaN	342.512126	0.028357	1.000000	21.000000
22071401.000000	3.000000	39.000000	63.725671	0.034486	0.256909	NaN	NaN	0.000438	0.120708	0.164336	NaN	NaN	260.034105	0.051591	1.000000	21.000000
22071401.000000	3.000000	8.000000	77.090545	-0.026571	0.361591	NaN	NaN	0.000010	3.857810	0.153807	NaN	NaN	283.820438	0.052711	1.000000	24.000000
22071401.000000	3.000000	10.000000	73.420484	0.000165	0.723772	NaN	NaN	0.048859	1.584212	0.126010	NaN	NaN	265.534153	0.924300	2.000000	25.000000
22071401.000000	3.000000	20.000000	49.686239	0.008633	0.517587	NaN	NaN	1.985315	0.335558	0.000000	NaN	NaN	248.936161	0.026677	1.000000	24.000000
22071401.000000	3.000000	18.000000	66.502247	-0.004668	0.075678	NaN	NaN	1.120897	0.207727	0.055968	NaN	NaN	252.361676	0.045039	2.000000	22.000000
22071401.000000	3.000000	15.000000	73.464456	-0.035192	0.065190	NaN	NaN	0.750053	1.094425	0.064915	NaN	NaN	255.584781	0.052088	1.000000	33.000000
22071401.000000	3.000000	7.000000	64.815078	0.384992	0.312048	NaN	NaN	0.670456	0.574552	0.073058	NaN	NaN	254.044015	0.055960	1.000000	35.000000
22071401.000000	3.000000	5.000000	31.767402	-0.160704	0.308915	NaN	NaN	1.734026	0.397408	0.000000	NaN	NaN	247.929934	0.041122	1.000000	28.000000
22071401.000000	3.000000	9.000000	45.112413	0.005160	0.118528	NaN	NaN	1.726368	0.357785	0.000000	NaN	NaN	248.012924	0.037361	1.000000	37.000000
22071401.000000	3.000000	31.000000	70.160319	-0.015743	0.098242	NaN	NaN	1.877172	0.228975	0.000000	NaN	NaN	248.390177	0.040332	1.000000	30.000000
22071401.000000	3.000000	11.000000	61.988129	-0.061206	0.604133	NaN	NaN	1.662916	0.184106	0.031297	NaN	NaN	251.012402	0.033629	1.000000	34.000000
22071401.000000	3.000000	38.000000	15.209008	-0.152891	0.631585	NaN	NaN	1.791955	0.405888	0.000007	NaN	NaN	248.096898	0.034119	1.000000	41.000000
22071401.000000	3.000000	4.000000	6.593092	-0.054430	0.900782	NaN	NaN	0.310523	-0.110162	0.172877	NaN	NaN	261.754098	0.040148	1.000000	41.000000
