subID	modeli	name	Mp	delta	wp	scl	delta2	nll	nllsd	success	iterations
22071401	1	McFadden	1.72923415660671	0.428421105416965	NaN	NaN	NaN	247.94410929456	0.0434520980336104	2	22
22071401	2	dnLinear	0.655702531337738	1.88912031650543	NaN	1.73946702480316	NaN	244.745656828286	0.0557458640537104	2	18
22071401	3	DNM	1.73402604388178	0.397408238809152	0	NaN	NaN	247.929934184015	0.0411217288625517	1	28
22071401	4	dnDNM	0.767742156982422	1.66540584564209	0	1.59702014923096	NaN	244.942353065821	0.0396842009958604	2	19
22071401	5	dnDNMExtened	0.892285151407123	1.15188041906804	8.25644470751064e-05	1.47421107534319	0.447943576984108	245.205009004818	0.0454091077026981	2	36
22071402	1	McFadden	61.5719013214111	-0.0677452087402344	NaN	NaN	NaN	348.986312718826	0.0357266050190203	2	13
22071402	2	dnLinear	54.5484619140625	-0.053607177734375	NaN	4	NaN	344.085350212056	0.0364182564855112	2	14
22071402	3	DNM	60.1053311228752	-0.0798793256282807	0	NaN	NaN	348.955955014169	0.0346848557928418	1	19
22071402	4	dnDNM	55.6471283589817	-0.0637566464716656	1.25065254905632e-05	4	NaN	341.599898273677	0.0265773702332424	1	22
22071402	5	dnDNMExtened	54.8080997467041	-0.0380729675292969	0	4	0.646922302246094	340.557797920554	0.0366036149961252	2	17
22071801	1	McFadden	4.64586520072771	0.336118023225572	NaN	NaN	NaN	182.260001086738	0.0309924234441143	2	22
22071801	2	dnLinear	4.66590382345021	0.33901105998084	NaN	0	NaN	182.253064659533	0.027446439741809	1	23
22071801	3	DNM	1.89138514833758	0.196520741085988	0.100829664315097	NaN	NaN	179.591353684863	0.0325970928296093	1	24
22071801	4	dnDNM	1.85115464837145	0.226819915798842	0.10663256202497	0.00647240348553169	NaN	179.437158745506	0.0401957287394324	1	40
22071801	5	dnDNMExtened	1.32577313104412	0.217894740332849	0.12540506660589	0.0805691530695185	-0.807512334029889	179.541547631212	0.040951177297895	1	41
22071802	1	McFadden	5.64623133299528	0.482136856306079	NaN	NaN	NaN	121.691891477529	0.0258132493386782	2	25
22071802	2	dnLinear	4.29908629949205	0.788921534287511	NaN	1.1959985200665	NaN	121.648400400955	0.0261723713616903	1	32
22071802	3	DNM	5.53274105489254	0.518046620488167	0	NaN	NaN	121.658804191075	0.0281013954621914	1	25
22071802	4	dnDNM	4.88134956359863	0.655335998535156	0	0.892887115478516	NaN	121.658519085822	0.0189026949718796	2	20
22071802	5	dnDNMExtened	5.39363861083984	0.477665328979492	0	0.472332000732422	1.13631401062012	121.615292515389	0.0242741162616739	2	18
22071803	1	McFadden	3.4107276183895	0.448876672144252	NaN	NaN	NaN	148.972868084603	0.0461823277509642	2	19
22071803	2	dnLinear	1.77204489707947	1.49064548015595	NaN	0.726177453994751	NaN	144.258112359251	0.0979212377778206	2	30
22071803	3	DNM	3.43940959722034	0.493880929749112	5.29857728803762e-08	NaN	NaN	149.037224431885	0.0577866180101958	1	36
22071803	4	dnDNM	0.922488333657384	3.84508775994182	7.36676156520844e-06	0.7593006901443	NaN	142.948168735168	0.0828334910454324	1	33
22071803	5	dnDNMExtened	2.30496251256409	0.793382056335395	6.65514176944049e-05	0.59988619115029	0.387830279070477	145.674344868901	0.0988201457457821	1	37
22071804	1	McFadden	17.4793460071087	0.881436634063721	NaN	NaN	NaN	240.259502263908	0.0346707048569636	2	14
22071804	2	dnLinear	14.5120661854744	1.1167224407196	NaN	2.15546882152557	NaN	239.756590668123	0.041437274884808	2	20
22071804	3	DNM	0.00072479248046875	0.803445434570313	0.147763061523438	NaN	NaN	231.899622236672	0.0343365815980839	2	19
22071804	4	dnDNM	9.31322574615479e-08	1.03960627391934	0.121668409183621	1.56524400413036	NaN	229.872798400803	0.0298939925303668	1	20
22071804	5	dnDNMExtened	9.31322574615479e-10	0.784492120263167	0.129439290426671	1.30355862551369	1.30597997214645	229.632351649725	0.0328510607531668	1	22
22071805	1	McFadden	46.6717312983237	-0.307615005021216	NaN	NaN	NaN	283.13254841518	0.036836253567372	2	17
22071805	2	dnLinear	48.079797744751	-0.345542526245117	NaN	0	NaN	283.110845712959	0.0344215375876693	2	15
22071805	3	DNM	46.3993272781372	-0.315735530853272	0	NaN	NaN	283.079870272636	0.026426213520337	1	26
22071805	4	dnDNM	48.3263745602958	-0.341008841876828	3.04976492726539e-07	6.68405009491835e-05	NaN	283.094739288897	0.0307943157408686	2	23
22071805	5	dnDNMExtened	47.75661236783	-0.335259873122817	2.38693620424613e-09	7.13140877905971e-07	-0.557329307309642	283.113851106556	0.0402561637792948	2	23
22071806	1	McFadden	6.19132118962261	1.10141001904594	NaN	NaN	NaN	155.186588162168	0.0646890242362908	1	19
22071806	2	dnLinear	3.64398231450468	2.38085707016289	NaN	1.66438603028655	NaN	154.103422948232	0.0975361141461029	2	13
22071806	3	DNM	6.32852363586426	0.91485824584961	0	NaN	NaN	154.700267477606	0.0863202097481453	2	11
22071806	4	dnDNM	5.29454905742023	1.23514759310201	0.00344432186248012	0	NaN	155.147026986384	0.103306298538315	1	27
22071806	5	dnDNMExtened	6.86646231593852	0.775199129524799	2.10987763926695e-08	0.578632166047782	-0.393988271415401	156.293392309742	0.918171051883105	1	37
22071901	1	McFadden	5.75165557861328	0.160255432128906	NaN	NaN	NaN	190.140591403929	0.116475623718935	2	16
22071901	2	dnLinear	4.62973690032959	-0.333604907989502	NaN	2.44856739044189	NaN	185.558497353197	0.12815660795069	1	29
22071901	3	DNM	5.6285400390625	0.02001953125	0	NaN	NaN	190.070798424154	0.139435068224041	2	11
